country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","08-04-2025 11:00:00",14.675886,77.593027,CO,15,20,16
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","08-04-2025 11:00:00",13.204880,79.097889,PM10,34,82,57
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","08-04-2025 11:00:00",13.204880,79.097889,OZONE,29,51,34
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","08-04-2025 11:00:00",14.465052,78.824187,PM2.5,33,62,49
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-04-2025 11:00:00",16.9872867,81.7363176,SO2,9,13,11
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-04-2025 11:00:00",16.9872867,81.7363176,OZONE,5,7,6
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","08-04-2025 11:00:00",13.67,79.35,PM2.5,20,61,44
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","08-04-2025 11:00:00",13.67,79.35,NO2,14,22,18
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","08-04-2025 11:00:00",13.67,79.35,SO2,3,21,8
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","08-04-2025 11:00:00",13.615387,79.409230,PM2.5,37,427,117
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","08-04-2025 11:00:00",13.615387,79.409230,CO,12,22,14
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","08-04-2025 11:00:00",13.615387,79.409230,OZONE,50,113,80
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","08-04-2025 11:00:00",16.536107,80.594233,NH3,4,6,4
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","08-04-2025 11:00:00",16.536107,80.594233,OZONE,2,20,6
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","08-04-2025 11:00:00",16.486692,80.699436,PM10,48,63,55
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","08-04-2025 11:00:00",26.146529,87.454184,CO,NA,NA,NA
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","08-04-2025 11:00:00",26.146529,87.454184,OZONE,9,11,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","08-04-2025 11:00:00",25.5626095,84.663264,PM2.5,33,57,43
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","08-04-2025 11:00:00",25.5626095,84.663264,NH3,1,2,2
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","08-04-2025 11:00:00",25.5626095,84.663264,CO,16,30,21
